State,State ANSI,Value
ALABAMA,1,"3,430"
ARIZONA,4,"7,600"
ARKANSAS,5,"2,850"
CALIFORNIA,6,"12,830"
COLORADO,8,"2,160"
DELAWARE,10,"8,600"
FLORIDA,12,"7,190"
GEORGIA,13,"3,210"
IDAHO,16,"3,930"
ILLINOIS,17,"7,300"
INDIANA,18,"6,210"
IOWA,19,"7,260"
KANSAS,20,"2,160"
KENTUCKY,21,"4,300"
LOUISIANA,22,"2,880"
MARYLAND,24,"7,370"
MICHIGAN,26,"4,500"
MINNESOTA,27,"4,810"
MISSISSIPPI,28,"3,080"
MISSOURI,29,"3,490"
MONTANA,30,"1,040"
NEBRASKA,31,"4,390"
NEW JERSEY,34,"13,700"
NEW MEXICO,35,"1,550"
NEW YORK,36,"2,810"
NORTH CAROLINA,37,"4,180"
NORTH DAKOTA,38,"1,920"
OHIO,39,"6,400"
OKLAHOMA,40,"1,670"
OREGON,41,"3,080"
PENNSYLVANIA,42,"7,030"
SOUTH CAROLINA,45,"2,830"
SOUTH DAKOTA,46,"3,130"
TENNESSEE,47,"3,910"
TEXAS,48,"1,930"
UTAH,49,"3,970"
VIRGINIA,51,"4,720"
WASHINGTON,53,"2,630"
WEST VIRGINIA,54,"3,280"
WISCONSIN,55,"4,850"
WYOMING,56,"1,520"
