Date,corn,soyb,weat
2015-01-01,24.98,19.49,10.95
2015-02-01,25.799999,20.65,10.97
2015-03-01,24.74,19.629998999999998,10.93
2015-04-01,23.52,19.57,10.15
2015-05-01,22.629998999999998,18.57,9.98
2015-06-01,25.85,20.49,12.26
2015-07-01,23.139999,18.809998999999998,9.97
2015-08-01,22.91,17.9,9.63
2015-09-01,23.559998999999998,18.0,10.08
2015-10-01,23.08,17.83,10.13
2015-11-01,22.030001000000002,17.73,9.32
2015-12-01,21.219998999999998,17.33,9.14
2016-01-01,21.719998999999998,17.43,9.23
2016-02-01,20.629998999999998,17.15,8.67
2016-03-01,20.120001000000002,18.02,9.0
2016-04-01,21.940001000000002,19.52,9.19
2016-05-01,22.139999,20.07,8.73
2016-06-01,20.5,21.34,8.25
2016-07-01,18.940001000000002,19.08,7.8
2016-08-01,17.709999,18.16,7.05
2016-09-01,18.68,18.48,7.19
2016-10-01,19.440001000000002,19.42,7.34
2016-11-01,18.74,19.74,6.85
2016-12-01,18.709999,19.1,6.88
2017-01-01,19.139999,19.389999,7.09
2017-02-01,19.41,19.549999,7.26
2017-03-01,19.030001000000002,18.120001000000002,6.94
2017-04-01,18.709999,18.07,6.8
2017-05-01,18.969998999999998,17.51,6.8
2017-06-01,19.049999,18.049999,7.83
2017-07-01,18.879998999999998,18.93,7.31
2017-08-01,17.690001000000002,18.0,6.46
2017-09-01,17.639999,18.360001,6.58
2017-10-01,17.209999,18.440001000000002,6.2
2017-11-01,16.99,18.469998999999998,6.09
2017-12-01,16.77,17.879998999999998,6.0
2018-01-01,17.15,18.469998999999998,6.32
2018-02-01,17.610001,19.120001000000002,6.67
2018-03-01,17.959999,19.049999,6.2
2018-04-01,18.190001000000002,18.9,6.72
2018-05-01,18.030001000000002,18.629998999999998,6.86
2018-06-01,16.440001000000002,16.24,6.38
2018-07-01,16.959999,16.860001,6.94
2018-08-01,16.200001,15.79,6.67
2018-09-01,15.87,15.85,6.25
2018-10-01,16.120001000000002,15.62,6.14
2018-11-01,16.17,16.360001,6.07
2018-12-01,16.049999,16.18,5.93
2019-01-01,16.190001000000002,16.58,6.05
2019-02-01,15.65,16.26,5.37
2019-03-01,15.23,15.75,5.29
2019-04-01,15.07,15.1,4.94
2019-05-01,16.709999,15.47,5.64
2019-06-01,16.440001000000002,15.73,5.73
2019-07-01,15.86,15.16,5.31
2019-08-01,14.75,14.96,4.96
2019-09-01,15.18,15.51,5.3
2019-10-01,15.15,15.72,5.43
2019-11-01,14.52,14.9,5.67
2019-12-01,14.8,15.83,5.85
2020-01-01,14.42,14.58,5.72
