ANSI,Year,corn,soyb,weat
1001,2000,31.0,,50.0
1001,2001,71.0,,32.0
1001,2002,52.0,,36.0
1001,2003,120.0,,59.0
1001,2004,83.0,,
1001,2005,103.0,,
1001,2006,66.0,,
1001,2007,40.0,,
1001,2011,111.1,26.0,
1001,2013,99.3,41.2,
1001,2017,170.8,,
1001,2018,165.6,,
1001,2019,165.6,,
1003,2000,58.0,20.0,62.0
1003,2002,94.0,27.0,42.0
1003,2003,120.0,31.0,47.0
1003,2004,120.0,31.0,50.0
1003,2005,124.0,,
1003,2006,89.0,38.0,51.0
1003,2007,105.0,38.0,54.0
1003,2009,124.0,40.5,
1003,2010,161.9,40.0,
1003,2011,65.9,37.0,
1003,2012,123.3,41.0,
1003,2013,156.0,41.9,
1003,2014,138.9,43.8,
1003,2015,147.2,43.4,
1003,2016,152.9,41.8,
1003,2017,162.0,42.0,
1003,2018,152.0,45.4,
1003,2019,150.9,,
1005,2001,99.0,,0.0
1005,2002,88.0,,35.0
1005,2003,115.0,,37.0
1005,2004,93.0,,
1005,2005,114.0,,
1005,2006,75.0,,
1005,2007,103.0,,
1005,2009,109.0,,
1005,2010,79.4,,
1005,2011,119.6,,
1005,2013,153.8,,
1005,2014,166.3,,
1005,2015,181.6,52.1,
1005,2016,188.9,,
1005,2017,192.3,,
1005,2019,184.1,,
1009,2000,53.0,20.0,
1009,2001,127.0,35.0,
1009,2002,94.0,27.0,
1009,2003,128.0,,
1009,2004,139.0,,
1009,2009,110.0,,
1009,2011,109.5,,
1009,2012,70.0,41.4,
1009,2013,137.1,49.7,
1009,2014,144.0,33.9,
1009,2015,128.4,43.8,
1011,2002,77.0,,
1011,2012,142.0,,
1011,2013,128.0,52.2,
1011,2017,135.0,,
1013,2000,17.0,,50.0
1013,2001,66.0,,
1013,2002,40.0,,
1013,2003,178.0,,40.0
1013,2010,61.2,,
1013,2012,122.2,,
1013,2014,102.8,,
1015,2002,96.0,21.0,38.0
1015,2003,117.0,41.0,52.0
1015,2004,144.0,39.0,
1015,2006,61.0,18.0,
1015,2007,90.0,18.0,
1015,2009,103.0,38.0,
1015,2010,118.3,17.1,
1015,2011,119.6,28.2,
1015,2012,98.7,36.1,
1015,2013,117.4,44.2,
1015,2014,136.2,34.0,
1015,2018,156.2,,
1015,2019,137.2,,
1019,2000,47.0,17.0,55.0
1019,2001,119.0,35.0,47.0
1019,2002,78.0,24.0,44.0
1019,2003,132.0,40.0,
1019,2004,143.0,40.0,
1019,2005,135.0,41.0,
1019,2006,68.0,15.0,
1019,2007,35.0,15.0,
1019,2009,83.0,43.0,
1019,2010,65.2,27.4,
1019,2011,114.5,30.4,
1019,2012,80.9,50.1,
1019,2013,121.9,45.9,
1019,2014,113.2,37.8,
1019,2015,98.0,30.3,
1019,2016,92.3,20.8,
1019,2017,146.8,42.1,
1019,2019,129.4,30.1,
1021,2002,66.0,,
1021,2003,77.0,,
1021,2013,71.3,44.6,
1029,2002,118.0,,
1029,2011,95.6,,
1029,2016,125.0,,
1029,2017,111.1,,
1031,2000,38.0,,
1031,2002,88.0,,37.0
1031,2003,123.0,,
1031,2004,111.0,,
1031,2005,127.0,,
1031,2006,85.0,,
1031,2007,73.0,,
1031,2009,63.0,33.5,
1031,2010,82.2,21.0,
1031,2011,57.0,,
1031,2012,77.5,48.2,
1031,2013,106.6,43.0,
1031,2016,104.5,43.6,
1031,2017,120.2,,
1033,2000,99.0,9.0,54.0
1033,2001,145.0,,
1033,2002,118.0,28.0,
1033,2003,161.0,,41.0
1033,2004,138.0,35.0,
1033,2005,147.0,31.0,
1033,2006,90.0,,
1033,2007,85.0,21.0,
1033,2009,126.0,44.5,
1033,2010,142.8,30.6,
1033,2011,131.3,40.0,
1033,2012,102.4,44.0,
1033,2013,182.2,44.2,
1033,2014,191.5,44.0,
1033,2015,159.1,44.1,
1033,2016,126.2,31.2,
1033,2017,195.3,48.2,
1033,2018,153.6,36.1,
1033,2019,162.0,38.7,
1035,2000,21.0,,
1035,2002,53.0,,
1035,2003,120.0,,
1035,2004,97.0,,
1035,2005,98.0,,
1035,2006,64.0,,
1035,2007,36.0,,
1035,2009,72.0,45.0,
1035,2010,56.7,18.2,
1035,2012,124.0,,
1035,2013,131.3,37.6,
1035,2014,115.7,,
1035,2015,54.3,,
1035,2016,116.7,33.8,
1035,2017,120.7,,
1035,2018,150.0,,
1035,2019,109.0,,
1039,2000,25.0,,58.0
1039,2002,76.0,,
1039,2003,109.0,,32.0
1039,2004,122.0,27.0,
1039,2005,66.0,,
1039,2006,60.0,,
1039,2007,51.0,,
1039,2009,51.0,36.5,
1039,2010,121.5,28.0,
1039,2013,120.3,37.9,
1039,2016,108.1,32.6,
1039,2017,141.7,,
1039,2019,96.3,,
1041,2000,18.0,,
1041,2002,50.0,,
1041,2010,69.4,,
1041,2011,84.4,,
1041,2014,75.8,,
1041,2017,145.0,,
1041,2018,112.8,,
1043,2000,60.0,16.0,50.0
1043,2001,147.0,35.0,49.0
1043,2002,93.0,31.0,42.0
1043,2003,121.0,36.0,53.0
1043,2004,130.0,42.0,
1043,2005,125.0,36.0,
1043,2006,54.0,21.0,
1043,2007,48.0,17.0,
1043,2009,104.0,47.5,
1043,2010,90.9,27.5,
1043,2011,129.4,37.4,
1043,2012,94.6,50.1,
1043,2013,130.2,49.6,
1043,2014,163.5,41.6,
1043,2015,161.4,53.6,
1043,2016,117.2,30.3,
1043,2017,175.9,55.3,
1043,2018,181.6,44.6,
1043,2019,175.4,42.8,
1045,2000,18.0,,
1045,2001,68.0,,50.0
1045,2002,54.0,,37.0
1045,2003,113.0,,
1045,2004,90.0,,
1045,2005,94.0,,
